Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Liabilities",3110616,2973773,2499257,1793191,1827242,2120660,2117599,2035181,1345736,1043439,39181,38513,37948,38906,5822,35656,11074,16946,-462,7857,11453,14416,
"Total Liabilities and Short Term Funds",4765058,4673527,4199167,3299792,3631100,3036029,3305914,3197098,2287833,1431428,,,,,,,,,,,,,
"Fixed Assets",214565,213189,151680,195184,182482,131816,136779,113800,94036,62090,52191,46044,31908,22568,18821,16201,15985,19058,21147,22541,21304,18758,
"Right-of-use Asset",482474,481834,500410,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,788554,,463445,425614,415207,352486,318654,340907,306975,315724,289409,290803,311708,312315,
"Other Investments",142071,142071,137200,137200,266807,266771,286662,278185,271060,269540,264605,248820,244818,242620,238571,233006,229728,229620,207000,207000,207000,207000,
"",,,,,,,,,,,2071,2532,2037,3760,,,,,,4633,,,
"Goodwill",1036013,981905,958234,891313,1021175,766050,820293,752699,404364,152976,139808,120034,115313,62596,61262,61262,61262,61262,61262,61262,61332,61332,
"Deferred Tax Asset",81086,53093,55247,53914,21895,16130,379,20115,,,6670,10545,23168,24702,,30438,,5784,,,,,
"Investment and Trading Securities",,,,,,,,,,,171,171,,,,,,,,,22072,25225,
"Advances and Loans",848125,1139446,1120614,984369,1032391,937223,1200867,1021557,720141,438530,,,,,,,,,,,,,
"Advances and Loans: Secured loans and other advances to customers",,,,,,,202706,220958,185326,,,,,,,,,,,,,,
"Advances and Loans: Unsecured loans and other advances",,,,,,,998161,800599,534815,,,,,,,,,,,,,,
"Debtors",181584,158216,156650,131246,168245,158177,151521,139850,138244,134120,404522,348268,261178,229121,163930,122434,114208,99559,92240,105390,94937,105282,
"Short Term Deposits and Cash",1270976,1055871,701959,532429,540675,422339,402683,547351,446526,136035,78623,197499,100476,86760,134269,62970,26622,53233,29231,36938,51466,58686,
"Other Assets",508164,447902,417173,374137,397430,337523,306730,323541,213462,238137,284179,372772,425726,413720,209770,31156,20744,8607,6819,6293,10005,6490,
"Other Assets: Intangible Assets",,,,,,,113525,115064,15381,,,,,,,,,,,,,,
"Other Assets: Other Assets",,,,,,,612,760,3713,,,,,,,,,,,,,,
"Other Assets: Other financial assets",,,,,,,192593,207717,194368,,,,,,,,,,,,,,
"Total Assets",4765058,4673527,4199167,3299792,3631100,3036029,3305914,3197098,2287833,1431428,1235145,1349252,1204624,1085847,826623,557467,468549,477123,417699,444056,468116,482773,
"",,,,,,,,,,,897579,1003348,886728,756244,513694,252535,193073,230055,186644,208960,219253,230181,
"",,,,,,,,,,,1235145,1349252,1204624,1085847,826623,557467,468549,477123,417699,444056,468116,482773,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Number of Shares in Issue (Actual)",859125000,877255000,924958000,923727000,923727000,748547000,750567000,746712000,747712000,590981000,570103000,605025250,605025250,605025250,605025250,605025250,582025250,382025250,382025250,382025250,382025250,382025250,
"Weighted Average Shares in Issue (Actual)",875914000,924411000,923921000,895886000,866410000,748570000,747149000,746539000,741065000,593084000,592230000,605025250,605025250,605025250,596905870,605025250,478200113,382025250,382025250,356722829,357352398,361717262,
"Fully Diluted Weighted Average Shares in Issue",,,,,,,,,,,587224000,596905870,605025250,596905870,596905870,605025250,478200113,382025250,382025250,356722829,357352398,361717262,
"Market Capitalisation (R'000)",1262914,2447541,3098609,4747957,3463976,2432778,2364286,2053458,1981437,1979786,2479948,1942131,1700121,1851377,998292,423518,46562,42023,61124,53484,76405,122248,
"Number of Employees",,,,,,,,1803,,1104,,,,,,,,461,,506,,532,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Earnings Per Share (ZARc)",-16,10.6,5,3,10.4,30.4,12.4,18.6,6.7,9.7,4.8,8.6,3.3,6.1,2.3,3.6,1.94,3.5,-1.22,-5.61,-1.37,16.09,
"Diluted Earnings Per Share (ZARc)",-16,10.6,5,3,10.4,29.1,12.4,18.6,6.7,9.7,4.8,8.6,3.3,6.1,2.3,3.6,1.9,3.5,-1.2,-5.6,-1.4,16.1,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-15.4,10.3,5,14.2,10.5,32.8,12.4,18.6,6.7,10.5,4.8,8.6,3.3,5.6,2.3,3.1,2,-1.3,-1.3,-1.8,-1.5,-17.8,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-15.4,10.3,5,14.2,10.5,31,,18.6,,,4.8,8.6,,5.6,,3.1,2,-1.3,-1.3,-1.8,-1.5,-17.8,
"Distributions Per Share (ZARc)",,,,1.55,,9.91,,7.28,,3.4,,3.4,,2.1,,,,,,,,,
"Net Asset Value Per Share (ZARc)",160.37,165.55,163.22,146.41,166.79,105.86,130.06,125.31,119.68,65.79,59.36,57.31,52.68,54.61,51.86,50.54,47.47,68.8,60.61,65.7,65.14,70.6,
"3 Year Beta",0.13,0.22,-0.1,-0.66,-0.48,0.99,0.85,0.57,0.55,-0.11,0.59,0.12,-0.3,-0.08,0.11,1,-0.59,-0.61,1.34,0.47,0.5,,
"Cash Generated Per Share",40.45,58.25,12.41,29.75,34.03,-4.66,-7.61,29.22,0.8,-21.49,-21.75,25.23,16.46,76.68,47.12,31.86,-0.64,1.68,2.45,-3.7,0.66,-5.69,
"Number of Months",6,12,6,12,6,12,6,12,6,12,,,,,,,,,,,,,
"Net Asset Value Per Share (Base Curency)",160.37,165.55,163.22,146.41,166.79,105.86,130.06,125.31,119.68,65.79,59.36,57.31,52.68,54.61,51.86,50.54,47.47,68.8,60.61,65.7,65.14,70.6,
"Price at Period End (Base Currency)",147,279,335,514,375,325,315,275,265,335,435,321,281,306,165,70,8,11,16,14,20,32,
"JSE Market Price at Period End (ZARc)",147,279,335,514,375,325,315,275,265,335,435,321,281,306,165,70,8,11,16,14,20,32,
"JSE Market Price High (ZARc)",285,519,519,610,450,425,365,375,375,520,520,335,335,375,225,80,11,18,17,50,50,54,
"JSE Market Price Low (ZARc)",138,217,290,255,255,246,246,199,265,270,270,230,241,18,18,6,6,8,10,13,20,20,
"Final Dividend",,,,,,,,,,,,3.4,,2.1,,,,,,,,,
"JSE Volume Traded (Actual)",20634861,12649457,2635863,25842285,15544911,29164595,21229444,89295278,81871097,78763471,46521357,83641684,27464540,103073892,59203418,106483951,27199525,14977698,5943965,6768225,2302005,4174924,
"JSE Rand Value Traded (Actual)",32046640,41558469,10466060,103450979,55038766,94018660,67026603,280836929,262386722,330802500,204566196,249087134,79316349,196309149,76779124,30413474,2139212,2060951,908186,1376528,666138,1271799,
"12 Month HEPS",-10.1,10.3,8.7,14.2,30.9,32.8,24.3,18.6,12.4,10.5,10.1,8.6,6.6,5.6,3.4,3.1,2,-1.3,-1.6,-1.8,-10.6,-17.8,
"12 Month Dividend",,,1.55,1.55,9.91,9.91,7.28,7.28,3.4,3.4,3.4,3.4,3.4,2.1,2.1,,,,,,,,
"Dividend Per Share (ZARc)",,,,,,,,,,3.4,,3.4,,2.1,,,,,,,,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"Cash generated by operations",,,,,360753,71004,16357,,20054,-109167,-115080,161166,210244,477213,366879,253465,44439,58017,29636,40640,,,
"Cash generated from operations after WC",340446,574603,163320,341850,,,,262995,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",347552,511042,114796,274765,314340,-34868,-57093,218207,5948,-127005,-123986,152623,99587,463921,285108,192784,-3740,6412,9358,-14130,2522,-21730,
"Net cash flow from investing activities",-98629,-155325,-69566,-115967,-74283,-247952,-107397,-743539,-150499,51741,40462,-18222,-52591,-403299,-187634,-17018,-8541,7436,-1282,-12350,-13922,-34932,
"Net cash flow from from financing activities",-54819,210504,111847,-80233,-82880,125315,-47144,938551,446497,-15829,-35353,-23661,-33280,-36832,-26800,-136029,-14330,2446,-15783,4732,4180,28589,
"Dividends paid",-42610,-79824,-42280,-197012,-94116,-101945,-99969,-66064,-25438,-20059,,,,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",194104,566221,157087,78565,157177,-157505,-211634,413219,301946,-91093,-118877,110740,13717,23790,70674,,-26610,16294,-7707,-21748,-7220,-28073,
"Cash & Cash Equivalent beginning of period",1036564,441809,441809,331306,331306,519626,519626,106407,106407,197500,197500,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",23743,28534,20080,31938,-41869,-30815,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",1254411,1036564,618976,441809,446614,331306,307992,519626,408353,106407,78623,,,,,,,,,,,,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Oct 2020","29 May 2020","31 Oct 2019","31 May 2019","7 Nov 2018","30 May 2018","12 Oct 2017","29 May 2017","3 Oct 2016","20 Apr 2016","29 Sep 2015","16 Apr 2015","18 Sep 2014","28 Mar 2014","19 Sep 2013","17 May 2013","22 Oct 2012","24 May 2012","25 Nov 2011","5 May 2011","28 Oct 2010","7 May 2010",
"",,,,,,,,,,,,2.53,,2.67,,,,,,,,,
"",,,,,,,,,,,0.35,0.44,0.42,0.4,0.08,0.08,0.27,1.08,1.64,1.93,1.61,1.55,
"Price/Net Asset Value",0.92,1.69,2.05,3.51,2.25,3.07,2.42,2.19,2.21,5.09,7.33,5.6,5.33,5.6,3.18,1.39,0.17,0.16,0.26,0.21,0.31,0.45,
"Price/Cash Flow",7.27,4.79,53.99,17.28,22.04,-69.74,-82.79,9.41,662.5,-15.59,-40,12.72,34.14,3.99,7,2.2,-25,6.55,13.06,-3.78,60.61,-5.62,
"Return on Capital Employed",-4.68,4.59,4.84,4.24,7.54,10.58,8.04,6.48,4.76,4,14.25,13.18,11.29,9.98,8.67,5.62,4.04,3.04,-2.42,-4.87,-2.31,13.36,
"Return on Shareholder Funds",-13.48,12.63,11.96,9.29,15.18,35.09,22.36,17.84,11.56,14.76,16.72,14.71,12.68,11.2,8.84,6.72,6.55,5.43,-4.09,-8.65,-4.04,23.04,
"Return on Total Assets",-0.13,19.31,22.17,36.66,34.51,38.69,32.46,22.16,17.6,-18.03,6.61,8.13,9.17,6.99,8.58,0.23,1.63,2.75,-7.74,-6.02,-8.1,9.56,
"Operating Profit Margin",100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
"Net Profit Margin",5766.03,13.7,12.74,3,20.07,25.89,22.99,30.56,29.93,-24.84,,,,,,,,,,,,,
"Interest Cover",-0.99,1.02,0.95,0.75,1.79,2.03,1.71,1.93,1.37,1.08,-0.16,-0.06,0.27,0.04,0.26,2.02,2.32,2.68,0.34,-0.66,0.53,4.11,
"Dividend Cover",,,,1.94,,3.07,,2.55,,2.85,,2.53,,2.91,,,,,,,,,
"NAV%Price",109.09,59.34,48.72,28.48,44.48,32.57,41.29,45.57,45.16,19.64,13.65,17.85,18.75,17.85,31.43,72.19,593.38,625.45,378.81,469.29,325.7,220.62,
"Price : Earnings",-14.55,27.09,38.51,36.2,12.14,9.91,12.96,14.78,21.37,31.9,43.07,37.33,42.58,54.64,48.53,22.58,4,-8.46,-10,-7.78,-1.89,-1.8,
"Shareholders Equity : Total Assets",0.35,0.36,0.4,0.46,0.5,0.3,0.36,0.36,0.41,0.27,,,,,,,,,,,,,
"SH Equity : Advances and Other Accounts",1.95,1.49,1.52,1.53,1.75,0.98,0.99,1.14,1.31,0.88,,,,,,,,,,,,,
"Interest Margin",0.24,0.39,0.43,0.49,0.39,0.44,0.33,0.26,0.13,0.05,,,,,,,,,,,,,
"Non Interest Income : Total Income",-83.86,0.74,0.73,0.87,0.97,0.96,1.15,1.06,2.03,,,,,,,,,,,,,,
"Cost to Income",-323.88,2.31,2.22,1.7,1.56,1.48,1.5,1.59,1.91,-1.32,,,,,,,,,,,,,
"Liquid Funds : Deposits",1.05,0.96,0.7,0.53,0.51,0.41,0.37,0.5,0.44,0.15,,,,,,,,,,,,,
"Lendings : Total Assets",0.18,0.24,0.27,0.3,0.28,0.31,0.36,0.32,0.31,0.31,,,,,,,,,,,,,
"Lendings : Deposits",0.7,1.04,1.13,0.99,0.96,0.91,1.1,0.93,0.71,0.48,,,,,,,,,,,,,
"Interest Received : Interest Paid",4.81,8.24,7.88,9.34,8.22,7.4,6.44,6.75,3.63,1.84,,,,,,,,,,,,,
"PEG Ratio",-0.8,1.48,1.12,1.03,0.2,0.16,0.11,0.13,0.2,0.31,0.36,0.32,-0.19,-0.24,-0.18,-0.09,-0.03,0.06,0.05,0.04,0.01,0.01,

