"Total Liabilities and Short Term Funds",6206656,6585585,6380335,6175155,6112002,5505128,5268093,4357156,4014001,3535054,3159100,2827492,2474484,1780647,1532927,1552148,1520089,1319455,1222347,1016229,921104,
"Fixed Assets",2657703,2853298,3069874,2215133,2068333,1687016,1620228,1340628,1275515,1010491,978164,809577,740441,526475,523513,484212,478492,349810,362526,287667,282599,
"Fixed Assets: Investment properties",,2402968,,1477119,,1042684,1010812,843894,816180,728017,708835,605014,537330,337255,344247,320793,317990,219935,232829,143861,143233,
"Fixed Assets: Property, plant and equipment",,450330,,738014,,644332,609416,496734,459335,282474,269329,204563,203111,189220,179266,163419,160502,129875,129697,143806,139366,
"Investments In Associates",,,,,,,,,,,,,517433,369366,230188,181845,174681,124544,144887,115982,144875,
"Other Investments",,,,,,573764,,,209849,,197623,,212391,227875,232650,270625,261478,246390,240922,208894,194718,
"Deferred Tax Asset",126068,156272,147293,183266,150656,113202,94718,154457,143675,175628,146359,146533,110774,85895,78183,81080,73136,67129,62096,66022,50855,
"Advances and Loans",1238568,1334545,1387091,1480319,1754103,1820602,1818811,1195434,1184063,874586,806965,763719,699932,524068,360713,294407,275746,24862,233612,23566,217633,
"Debtors",246273,522530,31543,672596,391198,923282,762225,1081951,765949,852617,574390,,293626,358840,271182,357198,317425,279407,197500,114302,46549,
"Short Term Deposits and Cash",90505,30190,172791,218008,68942,21029,46017,36898,99835,47368,118700,69019,131606,,46924,,101000,,82685,,,
"Other Assets",1847539,1688750,1571743,1405833,1678770,366233,926094,547788,335115,621732,336899,1038644,480172,,66686,64626,114269,227313,125691,199796,128750,
"Other Assets: Current income tax assets",,,,,,,,,,,,3693,,,,,,,,,,
"Other Assets: Current tax assets",,,,,,7510,,,,,,,,,,,,,,,,
"Other Assets: Intangible Assets",,,,,,,,,,,,201970,,,,,,,,,,
"Other Assets: Inventories",,,,,,358723,,,,,,341131,,,,,,,,,,
"Other Assets: Trade and other receivables",,,,,,,,,,,,491850,,,,,,,,,,
"Total Assets",6206656,6585585,6380335,6175155,6112002,5505128,5268093,4357156,4014001,3535054,3159100,2827492,2474484,1780647,1532927,1552148,1520089,1319455,1222347,1016229,921104,

Share/unit data,"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Exchange Rate (period end)",1,1,1,1,1,,,,,,,,,,,,,,,,,
"Exchange Rate (weighted average)",1,1,1,1,1,,,,,,,,,,,,,,,,,
"Number of Shares in Issue (Actual)",1194751000,1214666000,974265619,974266000,827142090,772142000,772142000,772142000,772142000,772142000,772142000,722142000,772142000,772142000,737142000,737142000,707142000,677240000,677240000,677240000,677240000,
"Weighted Average Shares in Issue (Actual)",1194751000,1009634000,856749000,779494000,753322000,745806000,767000000,772100000,758124000,774107000,695582000,696236000,752771000,757559000,727652000,702756000,683622000,677240000,677240000,677240000,677240000,
"Fully Diluted Weighted Average Shares in Issue",1199673000,1402956000,1490471000,1413216000,762068000,809552000,772000000,777022000,763046000,749029000,700504000,701158000,757693000,762481000,732441000,707545000,688411000,682029000,682029000,677240000,,
"Market Capitalisation (R'000)",3636087,16806801,16919924,9304240,14140338,4881071,3341654,2659090,2393640,3258440,2316426,1505677,918849,640878,869828,849356,806142,545485,656923,405428,297986,
"Market Capitalisation (R'000): TRUSTCO (TTO)",3636087,16806801,16919924,11600057,14140338,4881071,3341654,2659090,2393640,3258440,2316426,1505677,918849,640878,911128,849356,880242,545485,748978,405428,324343,
"Number of Employees",,,,,,,,,,,,,,,,,618,,,,713,

